MeetingDate,MeetingVenue,RaceNo,Position,HorseNo,HorseName,JockeyName,WinOdds
2018-01-28,ST,1,4,3,THE LEGEND,Z Purton,NULL
2018-01-28,ST,2,1,11,GOOD DAYS,P-C Boudot,NULL
2018-01-28,ST,2,2,14,MIDNITE PROMISE,A Badel,NULL
2018-01-28,ST,2,3,4,PREMIUM CHAMPION,G Mosse,NULL
2018-01-28,ST,2,4,7,HAPPY ROCKY,N Rawiller,NULL
2018-01-28,ST,3,1,4,EIGHTY EIGHTY,J Moreira,NULL
2018-01-28,ST,3,2,2,NICE KICK,U Rispoli,NULL
2018-01-28,ST,3,3,11,SHANGHAI DRAGON,P-C Boudot,NULL
2018-01-28,ST,3,4,8,HANDSOME BO BO,Z Purton,NULL
2018-01-28,ST,4,1,4,EVEREST,M F Poon,NULL
2018-01-28,ST,4,2,6,MARQULA,O Doleuze,NULL
2018-01-28,ST,4,3,10,EVER LAUGH,Z Purton,NULL
2018-01-28,ST,4,4,2,CLUB LIFE,A Badel,NULL
2018-01-28,ST,5,1,7,RADIANT STEED,A Badel,NULL
2018-01-28,ST,5,2,8,AFFLUENCE START,J Moreira,NULL
2018-01-28,ST,5,3,1,ENCOURAGING,H Bowman,NULL
2018-01-28,ST,5,4,9,ALL GREAT FRIENDS,M F Poon,NULL
2018-01-28,ST,6,1,10,BALTIC WHISPER,Z Purton,NULL
2018-01-28,ST,6,2,5,TURF SPRINT,P-C Boudot,NULL
2018-01-28,ST,6,3,3,WATER DIVINER,N Rawiller,NULL
2018-01-28,ST,6,4,14,DOUBLE VALENTINE,A Badel,NULL
2018-01-28,ST,7,1,2,D B PIN,O Doleuze,NULL
2018-01-28,ST,7,2,1,MR STUNNING,N Rawiller,NULL
2018-01-28,ST,7,2,8,BEAT THE CLOCK,J Moreira,NULL
2018-01-28,ST,7,4,7,LUCKY YEAR,A Badel,NULL
2018-01-28,ST,8,1,6,SEASONS BLOOM,J Moreira,NULL
2018-01-28,ST,8,2,11,FIFTY FIFTY,K Teetan,NULL
2018-01-28,ST,8,3,4,WERTHER,H Bowman,NULL
2018-01-28,ST,8,4,12,SOUTHERN LEGEND,U Rispoli,NULL
2018-01-28,ST,9,1,12,SERGEANT TITANIUM,J Moreira,NULL
2018-01-28,ST,9,2,7,RATTAN,C Schofield,NULL
2018-01-28,ST,9,3,2,ROCKETEER,T Berry,NULL
2018-01-28,ST,9,4,11,HAPPILABABY,K Teetan,NULL
2018-01-28,ST,10,1,11,UNICRON JEWELLERY,J Moreira,NULL
2018-01-28,ST,10,2,9,LADY FIRST,Z Purton,NULL
2018-01-28,ST,10,2,12,SACRED IBIS,K Teetan,NULL
2018-01-28,ST,10,4,13,SMILING CHARM,H N Wong,NULL
2018-02-04,ST,1,3,10,DON WONGCHOY,H T Mo,NULL
2018-02-04,ST,1,4,9,CARRY TO WIN,K C Leung,NULL
2018-02-04,ST,2,1,12,BEAUT BEAUT,A Badel,NULL
2018-02-04,ST,2,2,6,KA YING BRILLIANCE,K C Leung,NULL
2018-02-04,ST,2,3,2,SPEEDY KING,N Callan,NULL
2018-02-04,ST,2,4,1,ARIZONA BLIZZARD,J Moreira,NULL
2018-02-04,ST,3,1,5,DINOZZO,J Moreira,NULL
2018-02-04,ST,3,2,3,GOLD MOUNT,Z Purton,NULL
2018-02-04,ST,3,3,2,EAGLE WAY,T Berry,NULL
2018-02-04,ST,3,4,4,HORSE OF FORTUNE,A Badel,NULL
2018-02-04,ST,4,1,9,GRADE ONE,S Clipperton,NULL
2018-02-04,ST,4,2,6,CITY LEGEND,K C Leung,NULL
2018-02-04,ST,4,3,1,SUPER MISSILE,Z Purton,NULL
2018-02-04,ST,4,4,14,TRIUMPHANT LIGHT,K Teetan,NULL
2018-02-04,ST,5,1,8,RULE THEE,Z Purton,NULL
2018-02-04,ST,5,2,10,ACCLAIMED LIGHT,K Teetan,NULL
2018-02-04,ST,5,3,9,TAI SMART,A Badel,NULL
2018-02-04,ST,5,4,6,BRING IT ON,J Moreira,NULL
2018-02-04,ST,6,1,8,SONIC FIGHTER,K C Leung,NULL
2018-02-04,ST,6,2,1,NOBLE STEED,B Prebble,NULL
2018-02-04,ST,6,3,7,SICHUAN BOSS,T Berry,NULL
2018-02-04,ST,6,4,10,ROYALE ELEGANCE,K Teetan,NULL
2018-02-04,ST,7,1,8,PING HAI STAR,J Moreira,NULL
2018-02-04,ST,7,2,3,MR GENUINE,M F Poon,NULL
2018-02-04,ST,7,3,7,KINGSFIELD,A Badel,NULL
2018-02-04,ST,7,4,1,RACING SUPERNOVA,Z Purton,NULL
2018-02-04,ST,8,1,12,C P POWER,A Badel,NULL
