MeetinDate,MeetingVenue,RaceNo,PoolText,WinCombination,DividendAmount
2018-03-07,HV,6,Quinella,"1, 11",79.0000
2018-03-07,HV,6,Quinella Place,"1, 8",139.0000
2018-03-07,HV,6,Quinella Place,"8, 11",73.5000
2018-03-07,HV,6,3 Pick 1,"1, 11",17.5000
2018-03-07,HV,6,3 Pick 1,"2, 3, 4",0.0000
2018-03-07,HV,6,3 Pick 1,"5, 6, 7, 8, 9, 10, 12",0.0000
2018-03-07,HV,6,Tierce,"1, 11, 8",1735.0000
2018-03-07,HV,6,Trio,"1, 8, 11",321.0000
2018-03-07,HV,6,First 4,"1, 4, 8, 11",639.0000
2018-03-07,HV,6,Quartet,"1, 11, 8, 4",10315.0000
2018-03-07,HV,6,5th Double,2/1,80.5000
2018-03-07,HV,6,5th Double (Consolation),2/11,10.5000
2018-03-07,HV,6,Triple Trio (Consolation),"1, 7, 10/1, 2, 10/F",53786.0000
2018-03-07,HV,7,Win,5,136.5000
2018-03-07,HV,7,Place,5,36.0000
2018-03-07,HV,7,Place,4,38.0000
2018-03-07,HV,7,Place,12,21.0000
2018-03-07,HV,7,Quinella,"4, 5",551.0000
2018-03-07,HV,7,Quinella Place,"4, 5",219.0000
2018-03-07,HV,7,Quinella Place,"5, 12",108.5000
2018-03-07,HV,7,Quinella Place,"4, 12",102.5000
2018-03-07,HV,7,3 Pick 1,"7, 12",0.0000
2018-03-07,HV,7,3 Pick 1,"1, 5, 10",25.0000
2018-03-07,HV,7,3 Pick 1,"2, 3, 4, 6, 8, 9, 11",0.0000
2018-03-07,HV,7,Tierce,"5, 4, 12",8072.0000
2018-03-07,HV,7,Trio,"4, 5, 12",816.0000
2018-03-07,HV,7,First 4,"2, 4, 5, 12",2041.0000
2018-03-07,HV,7,Quartet,"5, 4, 12, 2",57037.0000
2018-03-07,HV,7,6th Double,1/5,491.0000
2018-03-07,HV,7,6th Double (Consolation),1/4,88.0000
2018-03-07,HV,7,2nd Double Trio,"1, 8, 11/4, 5, 12",30445.0000
2018-03-07,HV,8,Win,5,34.0000
2018-03-07,HV,8,Place,5,15.0000
2018-03-07,HV,8,Place,7,27.5000
2018-03-07,HV,8,Place,8,173.5000
2018-03-07,HV,8,Quinella,"5, 7",156.0000
2018-03-07,HV,8,Quinella Place,"5, 7",60.0000
2018-03-07,HV,8,Quinella Place,"5, 8",390.5000
2018-03-07,HV,8,Quinella Place,"7, 8",930.0000
2018-03-07,HV,8,3 Pick 1,"5, 6",18.0000
2018-03-07,HV,8,3 Pick 1,"2, 7, 10",0.0000
2018-03-07,HV,8,3 Pick 1,"1, 3, 4, 8, 9, 11, 12",0.0000
2018-03-07,HV,8,Tierce,"5, 7, 8",10239.0000
2018-03-07,HV,8,Trio,"5, 7, 8",3099.0000
2018-03-07,HV,8,First 4,"3, 5, 7, 8",31152.0000
2018-03-07,HV,8,Quartet,"5, 7, 8, 3",266159.0000
2018-03-07,HV,8,7th Double,5/5,449.0000
2018-03-07,HV,8,7th Double (Consolation),5/7,181.5000
2018-03-07,HV,8,Treble,1/5/5,1661.0000
2018-03-07,HV,8,Treble (Consolation),1/5/7,812.0000
2018-03-07,HV,8,Six Up,"4, 8/1, 7/1, 2/1, 11/4, 5/5, 7",2901.0000
2018-03-07,HV,8,Six Win Bonus,4/7/2/1/5/5,55749.0000
2018-03-07,HV,6,Quinella Place,"1, 11",34.5000
2018-02-25,ST,3,Place,12,94.0000
2018-02-25,ST,3,Place,5,42.0000
2018-02-25,ST,3,Place,6,43.5000
2018-02-25,ST,3,Quinella,"5, 12",3599.0000
2018-02-25,ST,3,Quinella Place,"5, 12",928.0000
2018-02-25,ST,3,Quinella Place,"6, 12",756.0000
2018-02-25,ST,3,3 Pick 1,"8, 10",0.0000
2018-02-25,ST,3,3 Pick 1,"1, 6, 9",0.0000
2018-02-25,ST,3,3 Pick 1,"2, 3, 4, 5, 7, 11, 12, 13, 14",19.5000
2018-02-25,ST,3,Tierce,"12, 5, 6",108333.0000
2018-02-25,ST,3,Trio,"5, 6, 12",16882.0000
2018-02-25,ST,3,First 4,"5, 6, 8, 12",15416.0000
2018-02-25,ST,3,Quartet,"12, 5, 6, 8",501725.0000
2018-02-25,ST,3,2nd Double,1/12,1762.0000
2018-02-25,ST,3,2nd Double (Consolation),1/5,119.5000
2018-02-25,ST,4,Win,2,35.5000
2018-02-25,ST,4,Place,2,15.0000
2018-02-25,ST,4,Place,13,17.0000
2018-02-25,ST,4,Place,9,27.5000
2018-02-25,ST,4,Quinella,"2, 13",85.0000
2018-02-25,ST,4,Quinella Place,"2, 13",37.0000
2018-02-25,ST,4,Quinella Place,"2, 9",61.5000
2018-02-25,ST,4,Quinella Place,"9, 13",72.0000
2018-02-25,ST,4,3 Pick 1,"1, 13",0.0000
2018-02-25,ST,4,3 Pick 1,"2, 3, 9",19.5000
2018-02-25,ST,4,3 Pick 1,"4, 5, 6, 7, 8, 10, 11, 12",0.0000
2018-02-25,ST,4,Tierce,"2, 13, 9",1109.0000
2018-02-25,ST,4,First 4,"1, 2, 9, 13",171.0000
2018-02-25,ST,4,Quartet,"2, 13, 9, 1",3939.0000
2018-02-25,ST,4,3rd Double,12/2,1660.5000
2018-02-25,ST,4,3rd Double (Consolation),12/13,221.0000
2018-02-25,ST,5,Win,12,15.5000
2018-02-25,ST,5,Place,12,10.5000
2018-02-25,ST,5,Place,13,60.5000
2018-02-25,ST,5,Place,3,162.5000
2018-02-25,ST,5,Quinella,"12, 13",173.5000
2018-02-25,ST,5,Quinella Place,"12, 13",71.0000
2018-02-25,ST,5,Quinella Place,"3, 12",285.5000
2018-02-25,ST,5,Quinella Place,"3, 13",1497.0000
2018-02-25,ST,5,3 Pick 1,"7, 12",13.0000
2018-02-25,ST,5,3 Pick 1,"1, 2, 8",0.0000
2018-02-25,ST,5,3 Pick 1,"3, 4, 5, 6, 9, 10, 11, 13, 14",0.0000
2018-02-25,ST,5,Tierce,"12, 13, 3",9923.0000
2018-02-25,ST,5,Trio,"3, 12, 13",4743.0000
2018-02-25,ST,5,First 4,"2, 3, 12, 13",4060.0000
2018-02-25,ST,5,Quartet,"12, 13, 3, 2",62971.0000
2018-02-25,ST,5,4th Double,2/12,59.0000
2018-02-25,ST,5,4th Double (Consolation),2/13,270.0000
